Cluster,Feature,Log_Odds_Ratio
7, GdpP,3.56
8, GdpP,2.2
9, GdpP,2.94
1, Stp,2.83
2, Stp,3.5
3, Stp,1.61
4, Stp,3.14
5, Stp,2.94
6, Stp,3.43
7, Stp,2.4
8, Stp,2.2
9, Stp,2.94
1, GAPDH,2.83
2, GAPDH,3.5
3, GAPDH,1.61
4, GAPDH,3.14
5, GAPDH,2.94
6, GAPDH,3.43
7, GAPDH,3.56
8, GAPDH,2.2
9, GAPDH,2.94
1, adhE,2.83
2, adhE,3.5
3, adhE,1.61
4, adhE,3.14
5, adhE,2.94
6, adhE,3.43
7, adhE,3.56
8, adhE,2.2
9, adhE,2.94
1, Stk,2.83
2, Stk,3.5
3, Stk,1.61
4, Stk,3.14
5, Stk,2.94
6, Stk,3.43
7, Stk,3.56
8, Stk,2.2
9, Stk,2.94
1, ClpX,2.83
2, ClpX,3.5
3, ClpX,1.61
4, ClpX,3.14
5, ClpX,2.94
6, ClpX,3.43
7, ClpX,3.56
8, ClpX,2.2
9, ClpX,2.94
1, pepT,2.83
2, pepT,3.5
3, pepT,1.61
4, pepT,3.14
5, pepT,2.94
6, pepT,3.43
7, pepT,3.56
8, pepT,2.2
9, pepT,2.94
1, ClpP,2.83
2, ClpP,3.5
3, ClpP,1.61
4, ClpP,3.14
5, ClpP,2.94
6, ClpP,3.43
7, ClpP,3.56
8, ClpP,2.2
9, ClpP,2.94
1, SspB,1.61
2, SspB,3.5
3, SspB,1.61
4, SspB,3.14
5, SspB,2.94
6, SspB,3.43
7, SspB,2.4
8, SspB,2.2
9, SspB,2.94
1, DnaK,2.83
2, DnaK,3.5
3, DnaK,1.61
4, DnaK,3.14
5, DnaK,2.94
6, DnaK,3.43
7, DnaK,3.56
8, DnaK,2.2
9, DnaK,2.94
1, CodY,2.83
2, CodY,3.5
3, CodY,1.61
4, CodY,3.14
5, CodY,2.94
6, CodY,3.43
7, CodY,3.56
8, CodY,2.2
9, CodY,2.94
1, PepF,2.83
2, PepF,3.5
3, PepF,1.61
4, PepF,3.14
5, PepF,2.94
6, PepF,3.43
7, PepF,3.56
8, PepF,2.2
9, PepF,2.94
1, Eno,2.83
2, Eno,3.5
3, Eno,1.61
4, Eno,3.14
5, Eno,2.94
6, Eno,3.43
7, Eno,3.56
8, Eno,2.2
9, Eno,2.94
1, HAM1,2.83
2, HAM1,3.5
3, HAM1,1.61
4, HAM1,3.14
5, HAM1,2.94
6, HAM1,3.43
7, HAM1,3.56
8, HAM1,2.2
9, HAM1,2.94
1, Rex,2.83
2, Rex,3.5
3, Rex,1.61
4, Rex,3.14
5, Rex,2.94
6, Rex,3.43
7, Rex,3.56
8, Rex,2.2
9, Rex,2.94
1, HrcA,2.83
2, HrcA,3.5
3, HrcA,1.61
4, HrcA,3.14
5, HrcA,2.94
6, HrcA,3.43
7, HrcA,3.56
8, HrcA,2.2
9, HrcA,2.94
1, GrpE,1.61
2, GrpE,3.5
3, GrpE,1.61
4, GrpE,3.14
5, GrpE,2.94
6, GrpE,3.43
7, GrpE,3.56
8, GrpE,2.2
9, GrpE,2.94
1, DnaJ,2.83
2, DnaJ,3.5
3, DnaJ,1.61
4, DnaJ,3.14
5, DnaJ,2.94
6, DnaJ,3.43
7, DnaJ,3.56
8, DnaJ,2.2
9, DnaJ,2.94
1, GntR,2.83
2, GntR,3.5
3, GntR,1.61
4, GntR,3.14
5, GntR,2.94
6, GntR,3.43
7, GntR,3.56
8, GntR,2.2
9, GntR,2.94
1, FlpS,2.83
2, FlpS,3.5
3, FlpS,1.61
4, FlpS,3.14
5, FlpS,2.94
6, FlpS,3.43
7, FlpS,3.56
8, FlpS,2.2
9, FlpS,2.94
1, pgdA,2.83
2, pgdA,3.5
3, pgdA,1.61
4, pgdA,3.14
5, pgdA,2.94
6, pgdA,3.43
7, pgdA,2.4
8, pgdA,2.2
9, pgdA,2.94
1, VraSR,2.83
2, VraSR,3.5
3, VraSR,1.61
4, VraSR,3.14
5, VraSR,2.94
6, VraSR,3.43
7, VraSR,3.56
8, VraSR,2.2
9, VraSR,2.94
1, MsmK,2.83
2, MsmK,3.5
3, MsmK,1.61
4, MsmK,3.14
5, MsmK,2.94
6, MsmK,3.43
7, MsmK,3.56
8, MsmK,2.2
9, MsmK,2.94
1, OTC,2.83
2, OTC,3.5
3, OTC,1.61
4, OTC,3.14
5, OTC,2.94
6, OTC,3.43
7, OTC,3.56
8, OTC,2.2
9, OTC,2.94
1, argR,2.83
2, argR,3.5
3, argR,1.61
